Item Number,Description,Size 1,Size 2,Store,Dept,Category,SubCat,Vendor,Order Number,OnHand,OnOrder,Layaway,Committed,Cost,PriceUnits,Price,YTD Sales,OrdPt,OrdUp2,LastSale,G/L,Bin Location
0,SPI WHL 53 F4 C.FULL REVLTN PNK KW,,,1,HG,WHEEL,SPITFIRE,DELUX,0,4,0,0,0,18.56,1,39.99,149.962,0,0,20161220,120010,
1,VANS HFW E-STREET,10,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20140722,120010,
1,VANS HFW E-STREET,10,DK DENIM,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,47,0,0,0,20150514,120010,
1,VANS HFW E-STREET,10.5,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20130520,120010,
1,VANS HFW E-STREET,10.5,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,23.5,1,47,0,0,0,20130801,120010,
1,VANS HFW E-STREET,11,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20120626,120010,
1,VANS HFW E-STREET,11,DK DENIM,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,47,0,0,0,20140610,120010,
1,VANS HFW E-STREET,11.5,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20150221,120010,
1,VANS HFW E-STREET,11.5,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,23.5,1,47,0,0,0,20131219,120010,
1,VANS HFW E-STREET,12,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20140802,120010,
1,VANS HFW E-STREET,12,DK DENIM,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,47,0,0,0,20130907,120010,
1,VANS HFW E-STREET,12,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,23.5,1,47,0,0,0,20160225,120010,
1,VANS HFW E-STREET,13,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,20,0,0,20160804,120010,
1,VANS HFW E-STREET,13,DK DENIM,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,47,0,0,0,20130824,120010,
1,VANS HFW E-STREET,13,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,23.5,1,47,0,0,0,20131109,120010,
1,VANS HFW E-STREET,8,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20160307,120010,
1,VANS HFW E-STREET,8.5,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,0,120010,
1,VANS HFW E-STREET,8.5,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,23.5,1,47,0,0,0,20130330,120010,
1,VANS HFW E-STREET,9,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20150716,120010,
1,VANS HFW E-STREET,9,DK DENIM,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,47,0,0,0,20130621,120010,
1,VANS HFW E-STREET,9,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,0,120010,
1,VANS HFW E-STREET,9.5,BLK/DRES,1,FW,HFW,VANS,VANS,1,0,0,0,0,26,1,52,0,0,0,20140311,120010,
1,VANS HFW E-STREET,9.5,MG/DJ,1,FW,HFW,VANS,VANS,1,0,0,0,0,23.5,1,47,0,0,0,20160220,120010,
1,ETC INSOLE LIZARD KING,,,1,SA,MISC,ETCETERA,AWH,1,0,0,0,0,11,1,22.99,0,0,0,20141031,120010,
1,test item,,,1,COUPON,MISC,MISC,DWIND,1,-11,0,0,0,0,1,0.01,0,0,0,20120330,120010,
2,GRI GRIP MANNY STAMP,,,1,HG,GRIP TAPE,GRIZZLY,AWH,2,0,0,0,0,4,1,9.99,0,0,0,20160217,120010,
2,VANS HFW CHAUFFEUR,10,80S TRI,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,56,0,0,0,20150525,120010,
2,VANS HFW CHAUFFEUR,10,ANT/WHT,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,56,0,0,0,20130314,120010,
2,VANS HFW CHAUFFEUR,10,MD GRY,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,55,0,0,0,20121228,120010,
2,VANS HFW CHAUFFEUR,10,PWTR/BLK,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,55,0,0,0,20130824,120010,
2,VANS HFW CHAUFFEUR,10.5,MD GRY,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,55,0,0,0,20160108,120010,
2,VANS HFW CHAUFFEUR,10.5,PWTR/BLK,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,55,0,0,0,20150810,120010,
2,VANS HFW CHAUFFEUR,11,80S TRI,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,56,25,0,0,20170217,120010,
2,VANS HFW CHAUFFEUR,11,ANT/WHT,1,FW,HFW,VANS,VANS,2,0,0,0,0,27.5,1,56,0,0,0,20130628,120010,
2,VANS HFW CHAUFFEUR,11,MD GRY,1,FW,HFW,VANS,VANS,2,1,0,0,0,27.5,1,55,0,0,0,0,120010,
